amfi_code,scheme_name,fund_house,category,return_3yr_cagr,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,composite_score,rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,0.3400091602163293,1.4482911703262595,0.2698375144191807,1.46,-0.11265729075028275,86.25,1
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,0.317775371512347,1.1801011976606495,0.2926358334175106,1.36,-0.18188513572116294,82.25,2
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.2958277033726251,1.3067439695428407,0.27330465038306057,1.45,-0.1297396816518679,82.0,3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,0.32442459421956116,1.0936987435346308,0.2719535450128533,1.38,-0.16217208574644848,80.75,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,0.3248742855621496,1.0265242847993004,0.2119482701352573,0.8,-0.12588275606922517,80.0,5
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,0.35111802096428524,0.9982309868636414,0.2607666908004223,1.38,-0.20960883862039192,77.0,6
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,0.3045652442030289,1.2082665673727175,0.23201007160635082,1.54,-0.1501238549864533,74.8125,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,0.2917890157839378,1.2349300257743296,0.2827036785246582,1.6,-0.1639674294693263,73.6875,8
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,0.2896769452874166,1.0272133278753697,0.21399784776051212,1.6,-0.11291596329323073,68.1875,9
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,0.2666992200118774,0.9453082575156093,0.3033696538698332,1.43,-0.2870600572176455,67.375,10
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,0.268699908289022,1.1321218524747245,0.26598577542043045,1.61,-0.17248105753451382,66.75,11
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,0.27000426614519246,0.9497958246616031,0.3005787817097677,1.52,-0.31171900300634214,66.6875,12
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,0.22652359830098634,1.0816591793457044,0.21829397904608644,1.51,-0.17414075086657232,66.5625,13
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.16267372294624916,0.9532794968660103,0.1986859936686296,0.66,-0.11803493502764295,66.0,14
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,0.18434488610520172,0.7757902498211207,0.17729754927531766,0.92,-0.15200013055606398,59.25,15
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,0.20008208380471482,0.6648569985490619,0.1513635464823924,0.89,-0.1165062450540909,59.0,16
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,0.2108997654925684,0.6452074382933215,0.15643835948169668,0.72,-0.18629743138595511,58.5625,17
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,0.1966726206830185,0.8170993373494368,0.17048756803412696,1.57,-0.1085986215250232,55.0,18
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,0.13978381933703043,0.7979728586052847,0.17703302365844073,1.42,-0.13897862823061635,53.625,19
